"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
38,"@KingFrxsty old 1 took a shit on me i have my motherboard and processor thats it lol","USMA_CaDeT",2018-11-04 23:49:34,"USMA","colorado",196,0,NA,NA,NA,NA,NA
39,"@MorphanTime @booozle93 @DirtYHDZ_Banned lmao","USMA_CaDeT",2018-11-06 21:28:40,"USMA","colorado",196,2,NA,NA,NA,NA,NA
40,"wow @Xyp9x what a legend","USMA_CaDeT",2018-11-07 01:05:21,"USMA","colorado",196,1,NA,NA,NA,NA,NA
41,"@KingFrxsty seek some help my guy twitter aint the way fr","USMA_CaDeT",2018-11-03 20:56:00,"USMA","colorado",196,0,NA,NA,NA,NA,NA
42,"@Khuroz so 2k15 again lol","USMA_CaDeT",2018-11-07 05:55:14,"USMA","colorado",196,0,NA,NA,NA,NA,NA
43,"@KingFrxsty cant wait till they fix the saug shits aids","USMA_CaDeT",2018-11-03 20:56:44,"USMA","colorado",196,0,NA,NA,NA,NA,NA
44,"@RaMz_1nF @JoyStiCKR6 if he doesnt cheat hes insane but my god that was sus","USMA_CaDeT",2018-11-09 00:14:54,"USMA","colorado",196,0,NA,NA,NA,NA,NA
45,"@CallofDuty whos idea was it for these dumbass operator mods?? kids running around with flashlight shotguns and shit","USMA_CaDeT",2018-11-01 10:21:16,"USMA","colorado",196,1,NA,NA,NA,NA,NA
46,"@scumoz541 @WalkOnWarriors @ayeewallctc yikes","USMA_CaDeT",2018-11-05 17:10:47,"USMA","colorado",196,1,NA,NA,NA,NA,NA
47,"@Tcomix414 lmfaoo yikes","USMA_CaDeT",2018-11-04 03:09:10,"USMA","colorado",196,1,NA,NA,NA,NA,NA
48,"niko has the pink ec1-a omg <U+0001F648><U+0001F648><U+0001F924>","USMA_CaDeT",2018-11-07 03:49:07,"USMA","colorado",196,0,NA,NA,NA,NA,NA
49,"man idk y i walked in rec solo!! we got win only decent 1 was the pg https://t.co/mT4BER5is6","USMA_CaDeT",2018-11-03 19:40:20,"USMA","colorado",196,1,NA,NA,NA,NA,NA
50,"@goinZESTWAYS u tryna run or nah","USMA_CaDeT",2018-11-06 00:01:57,"USMA","colorado",196,0,NA,NA,NA,NA,NA
51,"need a C for rec runs no sellouts, just set screens for pg and play some D @2kCompGames","USMA_CaDeT",2018-11-07 23:52:25,"USMA","colorado",196,1,NA,NA,NA,NA,NA
52,"@scumoz541 @PapiJerm @WRproamleague @ayeewallctc @SmooTheNinja lol need clout and skill for this list","USMA_CaDeT",2018-11-09 20:07:39,"USMA","colorado",196,0,NA,NA,NA,NA,NA
53,"@CallofDuty seaside is a shit map","USMA_CaDeT",2018-11-03 04:12:52,"USMA","colorado",196,1,NA,NA,NA,NA,NA
54,"seaside is such a bad snd map","USMA_CaDeT",2018-11-03 04:10:34,"USMA","colorado",196,1,NA,NA,NA,NA,NA
55,"@AyooZep hell no i dont <U+0001F62D><U+0001F602><U+0001F602>","USMA_CaDeT",2018-11-05 17:11:12,"USMA","colorado",196,0,NA,NA,NA,NA,NA
56,"if joystick doesnt cheat that kid is insane!! that bank play was so suspect!!!","USMA_CaDeT",2018-11-09 00:14:09,"USMA","colorado",196,0,NA,NA,NA,NA,NA
57,"calls @roman8416avila @AyooZep https://t.co/KHpyGTbqN3","USMA_CaDeT",2018-11-03 19:44:05,"USMA","colorado",196,2,NA,NA,NA,NA,NA
58,"@InOutArmy Based on both Massey &amp; Sagarin, our strength of schedule is comparable to theirs! Whoever the ""Air Force player"" is, he certainly doesn't do his homework, before opening his pie hole.","USMA_84",2018-11-05 07:17:41,"USMA","",188,1,NA,NA,NA,NA,NA
59,"@fsusma @WPAOG <U+0001F44D><U+0001F44D><U+0001F44D>","USMA_84",2018-10-31 23:21:36,"USMA","",188,1,NA,NA,NA,NA,NA
60,"#GoArmy https://t.co/FTAKgprvQC","USMA_84",2018-11-01 21:36:43,"USMA","",188,0,NA,NA,NA,NA,NA
61,"@InOutArmy Agree! However, Army's failure to cover the spread against af will not strengthen their cause.","USMA_84",2018-11-04 14:27:31,"USMA","",188,0,NA,NA,NA,NA,NA
62,"#GoArmy #ArmyFootball #MOB https://t.co/OfdmOZN1t0","USMA_84",2018-11-01 21:07:06,"USMA","",188,0,NA,NA,NA,NA,NA
63,"@PPact ""Help us to continue our mass genocide on the unborn!"" ~ @PPact","USMA_84",2018-11-03 20:30:02,"USMA","",188,1,NA,NA,NA,NA,NA
64,"@asforfootball @RobertCharlesW @CrawdadsC2KO It was great having you on this evening Rob! Looking forward to having you join us again in the future. All the best to you and your team at @asforfootball !  @977ESPN","USMA_84",2018-11-01 02:28:31,"USMA","",188,2,NA,NA,NA,NA,NA
65,"<U+0001F914> https://t.co/DMbPeLmBRB","USMA_84",2018-11-06 17:16:15,"USMA","",188,0,NA,NA,NA,NA,NA
66,"@InOutArmy Which Top 10 team did they take to OT? <U+0001F609>","USMA_84",2018-11-05 19:03:45,"USMA","",188,2,NA,NA,NA,NA,NA
67,"@PPBlackComm That's like Hitler saying, during WWII, that concentration camps were the ""safer"" place for Jews! What absurd comments, both of which, supported mass genocide!","USMA_84",2018-11-10 01:53:30,"USMA","",188,0,NA,NA,NA,NA,NA
68,"@AF_Football @UNISWAG @UniWatch @UniAuthority @AF_Academy @AFFBEQ @USAFASID @CBSSportsNet @AF_FBRecruiting @JArthur14412820 At least they'll look purdy when they lose! <U+0001F609> #BEATaf","USMA_84",2018-11-01 21:44:39,"USMA","",188,3,NA,NA,NA,NA,NA
69,"@ArmyEquip What do you have in store for the uniforms for ARMY - af? #GoArmy #BEATaf","USMA_84",2018-11-02 14:49:29,"USMA","",188,0,NA,NA,NA,NA,NA
70,"""Strategic effectiveness on the modern battlefield in the twenty-first century is centered on the reality that airpower needs landpower to be strategically relevant"" https://t.co/esGMe3jOwz","WarInstitute",2018-11-06 23:15:04,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
71,"The future battlefield is going to require completely innovative solutions to new challenges. How can the Army make sure it's ready? https://t.co/FtwnhXkY59","WarInstitute",2018-11-09 11:15:04,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
72,"Cities Pose Huge Challenges to Military Forces. The Biggest Might be Just Crossing the Street. https://t.co/VYcW3dhAxm","WarInstitute",2018-10-31 11:15:05,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
73,"Mosul was devastated during the operation to retake it from ISIS. But if you look at history, it isn't unique. Urban combat rarely ends well for the city. https://t.co/KevIiGIUlT","WarInstitute",2018-11-09 07:30:09,"USMA","West Point, NY",13708,6,NA,NA,NA,NA,NA
74,"How to bring new tools, like quadcopters and other small drones, into existing doctrine that defines the way we fight https://t.co/B2U6Og3EjE","WarInstitute",2018-11-07 07:30:07,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
75,"“Without new tactics and tools for dealing with some of the basic challenges of urban combat, military units are forced to employ extremely destructive methods to reclaim cities from entrenched defenders” https://t.co/VYcW3dhAxm","WarInstitute",2018-11-04 10:15:03,"USMA","West Point, NY",13708,27,NA,NA,NA,NA,NA
76,"What is the ""maker movement"" and can it play a role in advancing US national security? https://t.co/FtwnhXkY59","WarInstitute",2018-11-09 04:00:13,"USMA","West Point, NY",13708,6,NA,NA,NA,NA,NA
77,"Cities are going to make it hard for soldiers to conduct even the most basic tasks of shooting, moving, and communicating. Especially moving. https://t.co/VYcW3dhAxm","WarInstitute",2018-11-02 19:15:10,"USMA","West Point, NY",13708,9,NA,NA,NA,NA,NA
78,"Drones have the potential to dramatically transform the way small infantry units fight. Is that a huge challenge or a huge opportunity? https://t.co/B2U6OfM2V4","WarInstitute",2018-11-09 14:25:03,"USMA","West Point, NY",13708,7,NA,NA,NA,NA,NA
79,"MWI Video: The Brain is the Battlefield of the Future – Dr. James Giordano https://t.co/iJ93eSOxi0","WarInstitute",2018-11-03 16:15:07,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
80,"Have you heard the latest episode of THE SPEAR, our podcast on the combat experience? https://t.co/WIW8FkY80n","WarInstitute",2018-11-10 00:15:03,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
81,"The private companies that are key to the United States securing its national security interests in space https://t.co/8gBoO7Czyv","WarInstitute",2018-11-03 11:00:31,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
82,"Failure to make drone-related technological advancements in these four areas ""will mean being on the wrong side of the power of the swarm."" https://t.co/AwbHCjqfSy","WarInstitute",2018-10-31 19:15:05,"USMA","West Point, NY",13708,9,NA,NA,NA,NA,NA
83,"“It became necessary to destroy the town to save it.” That's how an Army officer in Vietnam described an attack on a Viet Cong-held city. We still don't have a better way of retaking a city from enemy forces. https://t.co/KevIiGIUlT","WarInstitute",2018-11-09 22:15:04,"USMA","West Point, NY",13708,6,NA,NA,NA,NA,NA
84,"Can America's growing community of hackers, makers, and DIYers be harnessed to advance US national security? https://t.co/FtwnhXkY59","WarInstitute",2018-11-08 16:45:06,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
85,"""Cyber war is the hacking of networks. LikeWar is the hacking of people on the networks."" https://t.co/SPWfXslXpp","WarInstitute",2018-11-06 15:35:03,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
86,"There is a co-dependence between airpower and landpower ... but it is unequal https://t.co/esGMe3jOwz","WarInstitute",2018-11-09 23:15:03,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
87,"Strategic Intelligence and the Decision to Go to War https://t.co/b62LglorZ3","WarInstitute",2018-11-02 09:15:03,"USMA","West Point, NY",13708,27,NA,NA,NA,NA,NA
88,"""Arguably, the most significant driver of American failure is the too-frequent commitment of military forces without fully understanding the nature of the environment"" https://t.co/b62LglorZ3","WarInstitute",2018-11-06 17:55:05,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
89,"Cities are going to make it hard for soldiers to conduct even the most basic tasks of shooting, moving, and communicating. Especially moving.  https://t.co/VYcW3dhAxm","WarInstitute",2018-11-07 02:45:02,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
90,"MWI Podcast: Twitter Battles and Facebook Wars, with P.W. Singer https://t.co/SPWfXslXpp","WarInstitute",2018-11-05 14:25:03,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
91,"Cities Pose Huge Challenges to Military Forces. The Biggest Might be Just Crossing the Street. https://t.co/VYcW3dhAxm","WarInstitute",2018-11-03 01:45:03,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
92,"""Strategic effectiveness on the modern battlefield in the twenty-first century is centered on the reality that airpower needs landpower to be strategically relevant"" https://t.co/esGMe3jOwz","WarInstitute",2018-11-05 19:05:06,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
93,"The Real Key to Protecting US National Security Interests in Space? Launch Capability https://t.co/8gBoO7Czyv","WarInstitute",2018-11-03 23:15:04,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
94,"A grenade is incoming and you only have time to react reflexively. What do you do? https://t.co/WIW8FkY80n","WarInstitute",2018-11-09 19:05:06,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
95,"Here's one very specific way commercial, off-the-shelf drones will change the way the smallest ground combat units operate https://t.co/B2U6Og3EjE","WarInstitute",2018-11-06 13:15:05,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
96,"Don’t be distracted by the Space Force. This is the real key to protecting US national security interests in space. https://t.co/8gBoO7Czyv","WarInstitute",2018-11-04 12:00:28,"USMA","West Point, NY",13708,5,NA,NA,NA,NA,NA
97,"""Cyber war is the hacking of networks. LikeWar is the hacking of people on the networks."" https://t.co/SPWfXslXpp","WarInstitute",2018-10-31 23:15:03,"USMA","West Point, NY",13708,9,NA,NA,NA,NA,NA
98,"On Drones and Tactics: How Unmanned Platforms Will Change the Way the Infantry Fights https://t.co/B2U6Og3EjE","WarInstitute",2018-11-08 17:55:06,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
99,"Have you heard the latest episode of the MWI Podcast yet? We talk to PW Singer about his new book, “LikeWar: The Weaponization of Social Media.” https://t.co/SPWfXslXpp","WarInstitute",2018-11-04 15:30:07,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
100,"""The United States Army has long reaped the rewards of its technological dominance. But its relative position is beginning to erode."" How can that trend be reversed? https://t.co/FtwnhXkY59","WarInstitute",2018-11-07 19:05:05,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
101,"Better strategic decision making, especially when it comes to committing American troops to war, requires us to focus on ""the many intangibles associated with conflict that are often overlooked or under-emphasized by strategic analysts"" https://t.co/b62LglorZ3","WarInstitute",2018-11-03 06:30:06,"USMA","West Point, NY",13708,10,NA,NA,NA,NA,NA
102,"American strategic reorientation underwent three iterations after the Cold War. What are they? https://t.co/S0PpLHiRe2","WarInstitute",2018-10-31 00:30:06,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
103,"The private companies that are key to the United States securing its national security interests in space https://t.co/8gBoO7Czyv","WarInstitute",2018-11-05 12:15:06,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
104,"""The current crisis in the American way of war appears to be the culmination of numerous US strategic reorientations in which the US military has gone from being the bulwark and guardian of a benevolent superpower to a global discount security shop"" https://t.co/S0PpLHiRe2","WarInstitute",2018-10-31 10:15:05,"USMA","West Point, NY",13708,10,NA,NA,NA,NA,NA
105,"Drones have the potential to dramatically transform the way small infantry units fight. Is that a huge challenge or a huge opportunity? https://t.co/B2U6Og3EjE","WarInstitute",2018-11-08 05:45:02,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
106,"How to bring new tools, like quadcopters and other small drones, into existing doctrine that defines the way we fight https://t.co/B2U6Og3EjE","WarInstitute",2018-11-09 21:15:04,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
107,"The United States has real national security interests in space. That's why a domestic space launch capability is so vital. https://t.co/8gBoO7Czyv","WarInstitute",2018-11-03 04:45:08,"USMA","West Point, NY",13708,8,NA,NA,NA,NA,NA
108,"US joint doctrine makes clear that intel analysis must help commanders understand operational environments. But the analytical tools doctrine specifies are insufficient. https://t.co/b62LglorZ3","WarInstitute",2018-11-09 20:15:05,"USMA","West Point, NY",13708,5,NA,NA,NA,NA,NA
109,"There is inherent virtue in advocating for greater jointness among military services. But that doesn't mean power in each domain is equally decisive. https://t.co/esGMe3jOwz","WarInstitute",2018-11-06 00:15:04,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
110,"“The Space Force is the most high-profile topic related to our national space program, but it also represents a giant potential distraction from a range of other issues that will affect US interests—and our ability to achieve them—in space” https://t.co/8gBoO7Czyv","WarInstitute",2018-11-04 22:30:06,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
111,"MWI Podcast: Twitter Battles and Facebook Wars, with P.W. Singer https://t.co/SPWfXslXpp","WarInstitute",2018-11-01 11:15:05,"USMA","West Point, NY",13708,1,NA,NA,NA,NA,NA
112,"Inside America’s Post-Cold War Strategic Crisis: How the US Military Became a Discount Security Shop https://t.co/S0PpLHiRe2","WarInstitute",2018-11-04 13:45:03,"USMA","West Point, NY",13708,6,NA,NA,NA,NA,NA
113,"How can we know we're making the right decision when we commit troops to war? https://t.co/b62LglorZ3","WarInstitute",2018-11-03 21:30:08,"USMA","West Point, NY",13708,9,NA,NA,NA,NA,NA
114,"Is social media fundamentally transforming the way wars are fought? https://t.co/SPWfXslXpp","WarInstitute",2018-11-05 21:15:06,"USMA","West Point, NY",13708,7,NA,NA,NA,NA,NA
115,"How can we know we're making the right decision when we commit troops to war? https://t.co/b62LglorZ3","WarInstitute",2018-11-06 11:15:05,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
116,"Despite all the advanced technology, there are still limited tools for one of the most historically dominant challenges for military forces conducting offensive operations in a city: simply crossing the street https://t.co/VYcW3dhAxm","WarInstitute",2018-11-03 14:30:10,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
117,"“Arguably, the most significant driver of American failure is the too-frequent commitment of military forces without fully understanding the nature of the environment” https://t.co/b62LglorZ3","WarInstitute",2018-11-04 07:15:03,"USMA","West Point, NY",13708,49,NA,NA,NA,NA,NA
118,"Strategic Intelligence and the Decision to Go to War https://t.co/b62LglorZ3","WarInstitute",2018-11-03 12:45:04,"USMA","West Point, NY",13708,7,NA,NA,NA,NA,NA
119,"You're on a street corner, with enemy firing into the intersection from windows, and you need to get across with your squad. What do you do? https://t.co/VYcW3dhAxm","WarInstitute",2018-11-05 23:15:04,"USMA","West Point, NY",13708,10,NA,NA,NA,NA,NA
120,"""Arguably, the most significant driver of American failure is the too-frequent commitment of military forces without fully understanding the nature of the environment"" https://t.co/b62LglorZ3","WarInstitute",2018-11-08 15:35:03,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
121,"Your squad is on patrol and hears the buzz of small UAS overhead. You don't know if it's hostile, so you go to ground. As long as you're under cover, you're out of the fight. That's why drone proliferation is a big tactical problem. https://t.co/B2U6Og3EjE","WarInstitute",2018-11-09 05:45:03,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
122,"On Drones and Tactics: How Unmanned Platforms Will Change the Way the Infantry Fights https://t.co/B2U6Og3EjE","WarInstitute",2018-11-06 10:15:04,"USMA","West Point, NY",13708,6,NA,NA,NA,NA,NA
123,"The United States has real national security interests in space. That’s why a domestic space launch capability is so vital. https://t.co/8gBoO7Czyv","WarInstitute",2018-11-05 07:15:03,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
124,"Can America's growing community of hackers, makers, and DIYers be harnessed to advance US national security? https://t.co/FtwnhXkY59","WarInstitute",2018-11-07 13:15:04,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
125,"There is a co-dependence between airpower and landpower ... but it is unequal  https://t.co/esGMe3jOwz","WarInstitute",2018-11-05 13:15:05,"USMA","West Point, NY",13708,10,NA,NA,NA,NA,NA
126,"How can we know we're making the right decision when we commit troops to war? https://t.co/b62LglorZ3","WarInstitute",2018-11-02 12:15:05,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
127,"Despite all the advanced technology, there are still limited tools for one of the most historically dominant challenges for military forces conducting offensive operations in a city: simply crossing the street https://t.co/VYcW3dhAxm","WarInstitute",2018-11-05 16:45:07,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
128,"You're on a street corner, with enemy firing into the intersection from windows, and you need to get across with your squad. What do you do? https://t.co/VYcW3dhAxm","WarInstitute",2018-11-02 01:45:03,"USMA","West Point, NY",13708,11,NA,NA,NA,NA,NA
129,"""The Space Force is the most high-profile topic related to our national space program, but it also represents a giant potential distraction from a range of other issues that will affect US interests—and our ability to achieve them—in space"" https://t.co/8gBoO7Czyv","WarInstitute",2018-11-01 18:05:05,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
130,"WSJ's ""The Future of Everything"" Podcast: MWI's Jake Miraldi and John Spencer Describe the Future Urban Battlefield https://t.co/BOxWJz2BYJ","WarInstitute",2018-10-31 04:45:03,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
131,"Have you heard the latest episode of the MWI Podcast yet? We talk to PW Singer about his new book, ""LikeWar: The Weaponization of Social Media."" https://t.co/SPWfXslXpp","WarInstitute",2018-11-01 06:30:05,"USMA","West Point, NY",13708,0,NA,NA,NA,NA,NA
132,"Strategic Intelligence and the Decision to Go to War https://t.co/b62LglorZ3","WarInstitute",2018-11-07 21:15:04,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
133,"“The brain is and will be the 21st century battlescape in many ways” https://t.co/iJ93eSOxi0","WarInstitute",2018-11-04 20:45:04,"USMA","West Point, NY",13708,15,NA,NA,NA,NA,NA
134,"""Airpower’s decisiveness might be in question—domination in the air domain does not equal domination in the ground domain—but its relevance is unequivocally not"" https://t.co/esGMe3jOwz","WarInstitute",2018-11-06 07:30:08,"USMA","West Point, NY",13708,7,NA,NA,NA,NA,NA
135,"There is inherent virtue in advocating for greater jointness among military services. But that doesn't mean power in each domain is equally decisive. https://t.co/esGMe3jOwz","WarInstitute",2018-11-08 20:15:07,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
136,".@SpencerGuard: ""Without new tactics and tools for dealing with some of the basic challenges of urban combat, military units are forced to employ extremely destructive methods to reclaim cities from entrenched defenders"" https://t.co/VYcW3dhAxm","WarInstitute",2018-10-30 23:15:03,"USMA","West Point, NY",13708,9,NA,NA,NA,NA,NA
137,"American strategic reorientation underwent three iterations after the Cold War. What are they? https://t.co/S0PpLHiRe2","WarInstitute",2018-11-05 05:30:07,"USMA","West Point, NY",13708,4,NA,NA,NA,NA,NA
138,"Don't be distracted by the Space Force. This is the real key to protecting US national security interests in space. https://t.co/8gBoO7Czyv","WarInstitute",2018-11-07 22:15:05,"USMA","West Point, NY",13708,2,NA,NA,NA,NA,NA
139,"How can we know we're making the right decision when we commit troops to war? https://t.co/b62LglorZ3","WarInstitute",2018-11-08 04:00:07,"USMA","West Point, NY",13708,3,NA,NA,NA,NA,NA
